"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
179,179,438695,Sing 2,2021-12-01,"['Animation', 'Family']",English,7.9,3728,143.478,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Cr...",85000000,"['Universal Pictures', 'Illumination']",406000000,110,Where will your dreams take you?,321000000
180,180,381288,Split,2017-01-19,"['Horror', 'Thriller']",English,7.3,16034,143.472,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct ...",9000000,"['Universal Pictures', 'Blinding Edge Pictures', 'Blumhouse Productions']",278454358,117,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,269454358
182,182,551271,Medieval,2022-09-08,"['Action', 'Drama', 'History']",English,7.2,381,143.168,The story of 14th century Czech icon and warlord Jan Zizka who defeated armies of the Teutonic Order and the Holy Roman Empire.,23000000,"['JBJ Film', 'Three Brothers Production']",4311284,126,For honor. For justice. For freedom.,-18688716
184,184,1858,Transformers,2007-06-27,"['Adventure', 'Science Fiction', 'Action']",English,6.8,10187,142.809,Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue...,150000000,"['DreamWorks Pictures', 'di Bonaventura Pictures', 'Tom DeSanto/Don Murphy Production']",709709780,143,Their war. Our world.,559709780
188,188,537915,After,2019-04-11,"['Romance', 'Drama']",English,7.1,7621,140.754,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardi...",14000000,"['CalMaple Films', 'Wattpad', 'Offspring Entertainment', 'Diamond Film Productions', 'Voltage Pictures', 'Frayed Pages Entertainment']",69497587,106,"After your first, life is never the same.",55497587
189,189,672,Harry Potter and the Chamber of Secrets,2002-11-13,"['Adventure', 'Fantasy']",English,7.7,19961,140.546,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: T...",100000000,"['Warner Bros. Pictures', 'Heyday Films', '1492 Pictures']",876688482,161,Hogwarts is back in session.,776688482
190,190,557,Spider-Man,2002-05-01,"['Fantasy', 'Action']",English,7.3,17207,139.896,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",139000000,"['Marvel Enterprises', 'Laura Ziskin Productions']",821708551,121,With great power comes great responsibility.,682708551
192,192,345940,The Meg,2018-08-09,"['Action', 'Science Fiction', 'Horror']",English,6.2,6486,139.293,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",150000000,"['Apelles Entertainment', 'Gravity Pictures', 'di Bonaventura Pictures', 'Flagship Entertainment Group', 'Maeday Productions', 'Warner Bros. Pictures']",530517320,113,Chomp On This,380517320
194,194,673,Harry Potter and the Prisoner of Azkaban,2004-05-31,"['Adventure', 'Fantasy']",English,8.0,19597,138.486,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But...",130000000,"['Warner Bros. Pictures', '1492 Pictures', 'Heyday Films', 'P of A Productions Limited']",789804554,141,Something wicked this way comes.,659804554
199,199,324786,Hacksaw Ridge,2016-10-07,"['Drama', 'History', 'War']",English,8.2,12307,136.764,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressio...",40000000,"['Vendian Entertainment', 'Summit Entertainment', 'Cross Creek Pictures', 'IM Global', 'Screen Australia', 'Screen NSW', 'Permut Presentations', 'Pandemonium', 'Demarest Films', 'Lionsgate', 'Blis...",175302354,139,One of the greatest heroes in American history never fired a bullet.,135302354
201,201,674,Harry Potter and the Goblet of Fire,2005-11-16,"['Adventure', 'Fantasy', 'Family']",English,7.8,18874,136.013,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submi...",150000000,"['Warner Bros. Pictures', 'Heyday Films', 'Patalex IV Productions Limited']",895921036,157,Dark And Difficult Times Lie Ahead.,745921036
204,204,337339,The Fate of the Furious,2017-04-12,"['Action', 'Crime', 'Thriller']",English,6.9,9532,135.525,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",250000000,"['Original Film', 'One Race', 'Universal Pictures']",1236005118,136,Family no more.,986005118
207,207,882598,Smile,2022-09-23,"['Horror', 'Mystery', 'Thriller']",English,6.8,2091,133.396,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over...",17000000,"['Paramount Players', 'Temple Hill Entertainment']",216135048,115,"Once you see it, it’s too late.",199135048
209,209,964980,Air,2023-04-05,"['Drama', 'History']",English,7.4,969,133.227,Discover the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan ...,90000000,"['Amazon Studios', 'Skydance Sports', 'Mandalay Pictures', 'Artists Equity']",87078875,112,Some icons are meant to fly.,-2921125
212,212,532408,The Boogeyman,2023-05-31,"['Horror', 'Mystery', 'Fantasy']",English,6.3,78,131.830,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father t...",41900000,"['21 Laps Entertainment', '20th Century Studios']",39637895,99,It's not real. It's not real. It's not real.,-2262105
217,217,12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,"['Fantasy', 'Adventure']",English,8.1,18804,130.742,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects...",125000000,"['Warner Bros. Pictures', 'Heyday Films']",1341511219,130,It all ends here.,1216511219
218,218,157336,Interstellar,2014-11-05,"['Adventure', 'Drama', 'Science Fiction']",English,8.4,31585,128.429,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,165000000,"['Legendary Pictures', 'Syncopy', 'Lynda Obst Productions']",701729206,169,Mankind was born on Earth. It was never meant to die here.,536729206
219,219,335787,Uncharted,2022-02-10,"['Action', 'Adventure']",English,7.0,4758,127.876,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead...",120000000,"['Columbia Pictures', 'Atlas Entertainment', 'PlayStation Productions', 'A2 Productions']",401748820,116,Fortune favors the bold.,281748820
220,220,767,Harry Potter and the Half-Blood Prince,2009-07-07,"['Adventure', 'Fantasy']",English,7.7,17747,127.775,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent...",250000000,"['Warner Bros. Pictures', 'Heyday Films']",933959197,153,Dark Secrets Revealed,683959197
223,223,718930,Bullet Train,2022-07-03,"['Action', 'Comedy', 'Thriller']",English,7.5,4318,127.230,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision...",90000000,"['87North Productions', 'Columbia Pictures']",239268602,126,The end of the line is just the beginning.,149268602
224,224,68718,Django Unchained,2012-12-25,"['Drama', 'Western']",English,8.2,24173,127.185,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",100000000,"['The Weinstein Company', 'Columbia Pictures']",425368238,165,"Life, liberty and the pursuit of vengeance.",325368238
226,226,550988,Free Guy,2021-08-11,"['Comedy', 'Adventure', 'Science Fiction']",English,7.6,7259,126.769,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined...",110000000,"['Berlanti Productions', '21 Laps Entertainment', 'Maximum Effort', 'Lit Entertainment Group', '20th Century Studios']",331526598,115,Life's too short to be a background character.,221526598
235,235,1930,The Amazing Spider-Man,2012-06-23,"['Action', 'Adventure', 'Fantasy']",English,6.7,16048,124.230,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and...",215000000,"['Marvel Entertainment', 'Laura Ziskin Productions', 'Columbia Pictures', 'Matt Tolmach Productions', 'Arad Productions']",757930663,136,The untold story begins.,542930663
237,237,76203,12 Years a Slave,2013-10-18,"['Drama', 'History']",English,7.9,10406,123.300,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles no...",20000000,"['New Regency Pictures', 'Plan B Entertainment', 'River Road Entertainment', 'Regency Enterprises', 'Film4 Productions']",187000000,134,The extraordinary true story of Solomon Northup,167000000
238,238,830784,"Lyle, Lyle, Crocodile",2022-10-07,"['Comedy', 'Family', 'Music']",English,7.3,424,123.194,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves ...",50000000,"['Hutch Parker Entertainment', 'Speck Gordon', 'Eagle Pictures', 'TSG Entertainment', 'Columbia Pictures', 'Sony Pictures']",104088441,106,He knows every scale.,54088441
239,239,899112,Violent Night,2022-11-30,"['Action', 'Comedy', 'Crime', 'Thriller']",English,7.5,1458,122.695,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, ...",20000000,"['87North Productions', 'Universal Pictures']",75734910,112,You better watch out.,55734910
240,240,429617,Spider-Man: Far From Home,2019-06-28,"['Action', 'Adventure', 'Science Fiction']",English,7.5,14101,122.625,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natur...",160000000,"['Marvel Studios', 'Pascal Pictures']",1131927996,129,It’s time to step up.,971927996
244,244,12444,Harry Potter and the Deathly Hallows: Part 1,2010-10-06,"['Adventure', 'Fantasy']",English,7.8,17430,121.174,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledo...",250000000,"['Warner Bros. Pictures', 'Heyday Films']",954305868,146,One Way… One Fate… One Hero.,704305868
246,246,338953,Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,"['Fantasy', 'Adventure', 'Family']",English,6.7,3594,120.718,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander...",200000000,"['Warner Bros. Pictures', 'Heyday Films', 'Brazil Production Services']",406950844,142,Return to the magic.,206950844
247,247,937278,A Man Called Otto,2022-12-28,"['Comedy', 'Drama']",English,7.9,1315,120.262,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world ...",50000000,"['Playtone', 'SF Studios', '2DUX²', 'Artistic Films', 'Columbia Pictures']",108961677,126,Fall in love with the grumpiest man in America.,58961677
